,Industry,Avg_GMAT,Avg_Age,Avg_Job_Months
0,Accounting,657.555378531941,28.445945945945947,60.108108108108105
1,Advertising/Marketing Services,633.75,29.625,71.75
2,Aerospace,674.6833032024792,28.63511617027912,60.81818181818182
3,Agribusiness,636.6666666666666,28.61111111111111,52.44444444444444
4,Auto/Transportation,643.4809079694976,30.11842105263158,69.5
5,Chemicals,658.6147524350649,29.6,62.65714285714286
6,Construction,633.0764420701581,28.26086956521739,53.26086956521739
7,Consulting - Healthcare,647.118063950677,29.829787234042552,65.44680851063829
8,Consulting - Investment,633.5005632836991,28.655172413793103,61.793103448275865
9,Consulting-Strategy/Management,655.7323575428195,28.10144927536232,53.822463768115945
10,Consumer Gds-Apparel/Textile,666.9697709517045,29.125,49.25
11,Consumer Gds-Food/Beverage,617.8457515495868,28.436363636363637,56.845454545454544
12,Consumer Gds-Hsehold/Pers Prod,649.1963624011858,29.782608695652176,67.6304347826087
13,Education,658.554495546683,29.54054054054054,59.63513513513514
14,Energy/Utilities,647.2632012085137,30.031310408668897,73.25396825396825
15,Entertainment/Leisure/Media,652.43332343962,29.880597014925375,70.31343283582089
16,Environmental Services,644.5650430718475,29.677419354838708,66.41935483870968
17,Finan Serv-Diversified,653.1987107402149,28.555555555555557,59.8125
18,Finan Serv-Insurance,652.0799167097107,29.454545454545453,69.56818181818181
19,Finan Serv-Invest Bk/Brokerage,647.6250596667899,28.18970189701897,54.83468834688347
20,Finan Serv-Invest Mgt/Research,658.7949535324174,28.488372093023255,59.02325581395349
21,Finan Serv-Private Equity,648.0606534090908,28.4,53.84
